texto,intent
quero comprar mas preciso saber se ela calca certinho o numero do calco o numero <num> devo comprar o mesmo,duvida_tamanho
dica de look para happy hour com camisa de viscose azul marinho,styling_sugestao_look
tem body canelado bege P?,buscar_produto_por_nome
obrigada pela presenca,despedida
muito obrigada pela atencao,despedida
obrigada pela presena a a i a i,despedida
pergunta tenho duvida no tamanho da camisa viajante qual voce recomenda resposta tamanho e medidas,duvida_tamanho
enviado obrigada ata c segunda,despedida
tem loja física/enderreço?,onde_comprar
pensamos que poderia ser a senha criada mas quando ocorre algum ponto nesse aspecto surge uma mensagem abaixo voce se importaria em tentar novamente apenas para checarmos se continua ocorrendo o mesmo erro,erros_plataforma
perfeito ana obrigada pelo retorno d,despedida
tem jaqueta preto no 44?,disponibilidade
tem vestido verde tamanho G?,buscar_produto_por_categoria
necessarias,outros
o meu e <user> oficial,outros
na o tem um link de comunicaa a o no whatsapp,buscar_produto_por_nome
aindda tem calça alfaiataria em G?,disponibilidade
tem body verde tamanho P?,buscar_produto_por_categoria
procuro blazer linho em azul marinho,buscar_produto_por_nome
quero saia verde 36,buscar_produto_por_categoria
tem shorts preto no 44?,disponibilidade
quero jaqueta bege 442,buscar_produto_por_categoria
sugestao,pedido_sugestao
elegante,outros
fechado,outros
valor do frete pro 04567-010?,frete_prazo
cadê o rastreamento do #5536?,status_pedido
tem vestido preto no P?,disponibilidade
ok entendi obrigada pelo retorno um abraco,despedida
"prazo pro meu cep 04012-000, chega até essa semana?",frete_prazo
"quero um look casual para trabalho, uso 36",pedido_sugestao
de,outros
quero jaqueta preto 36,buscar_produto_por_categoria
vc consegue rastrear o meu pedido,outros
tem saia preto tamanho 36?,buscar_produto_por_categoria
sku,outros
é algodão? encolhe? comoo lavar?,materiais_cuidados
bia voce acaba comigo com tantas coisas lindas do curadobia queria muito que tivesse frete internacional canada eu fico aqui babando,saudacao
bia esse seu curadobia esta um arraso muito tentador paraba c ns pelo projeto uma daovida qual a sua altura estou interessadassima nessa cala a mas sou baixa <num> cm e geralmente tenho que fazer a barras das cala as o que na o a c muito fa cil com essaa d obrigada,despedida
obrigada pelo prestigio foi incrivel te ter de pertinho ontem,saudacao
qual camisa combina com body canelado em preto?,pedido_sugestao
me iindica um shorts bege tamanho GG?,pedido_sugestao
"quero um look minimalista para jantar, uso PP",pedido_sugestao
quero jaqueta verde G,buscar_produto_por_categoria
volta pro estoque,outros
uso 46 na parte de cima; o body canelado serviria?,duvida_tamanho
obrigada pela presena a livia,despedida
tem blazer linho off-wwhite 46?,buscar_produto_por_nome
quero saia verde 42,buscar_produto_por_categoria
legal mto obrigada,despedida
checkout travandoo aqui,erros_plataforma
pagamentoo recusado toda hora,erros_plataforma
conteudo,outros
karyna bom dia tudo bem desculpe a demora para o esclarecimento da duvida como somos um marketolace trabalhamos com marcas unicas e diferentes como cada uma tem a sua producao optamos por entrar em contato com a marca parceira da calca ontem para confirmar sua duvida e te responder da melhor maneira possivel a marca nos confirmou que as medidas do tamanho <num> estao corretas com a cintura e o quadril com a mesma medida mesmo isso ocorre pois como e uma peca produzida com elastico na cintura ele acaba ficando na mesma medida do quadril se adequando ao formato do corpo que a usa a unica correcao que ja aproveitamos para fazer que a marca tambem nos informou foi que o tamanho <num> fa calca tambem deveria estar com a mesma medida na cintura e no quadril <num> cm pelo mesmo motivo ja vamos corrigir isso no site qualquer outra questao estamos a disposicao karyna,saudacao
ola bom dia sheila tudo bem que bom que gostou do nosso macacao cool nos temos ele nos tamanhos <num> <num> <num> e <num> vou te encaminhar o link dele para que possa visualizar no nosso site <url>,saudacao
tem jaqueta preto no GG?,disponibilidade
ola meninas seguem meus contatos <num> <num> <num> <num> daniela masson <user> com muito bom falar com vcs ontem obrigada falamos na sequaancia por whatsapp d,saudacao
é viscose? encolhee? como lavar?,materiais_cuidados
cadê o rastreamento do #3909?,status_pedido
"prazo pro meu cep 01455-022, chega até amanhã?",frete_prazo
bia gosto muito das suas bolsas poderia passar umas dicas nao encontrei no seu site,materiais_cuidados
pergunta a saia acinturante marca muito o corpo resposta modelagem e tecido,tamanho_modelagem
ola camila td bem segue aqui o link da blusa que voce gostou qualquer duvida estamos a disposicao ok,saudacao
como e o processo da troca,troca_devolucao
tem blazer verde no 40?,disponibilidade
tem jaqueta verde no 40?,disponibilidade
me indica um saia preto tamanho 46?,pedido_sugestao
tem blazer verde no 38?,disponibilidade
ola bia sou a daniela e gostaria de apresentar minha marca pra vc a queens gate minha socia e eu ja te acompanhamos tem um bom tempo e somos muito fas a sua curadoria com seus neutros com tcharanz reforcou a vontade de apresentar o conceito da nossa marca pra vc vamos completar <num> ano em agosto e adorariamos um bate papo com vc pra contar nossa historia e nossos planos moro em londres e minha socia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha obrigada <num> <num> <num> <num>,saudacao
ola bia sou a daniela e gostaria de apresentar minha marca pra vc a queens gate minha sa <num> cia e eu ja te acompanhamos tem um bom tempo e somos muito fa s a sua curadoria com seus neutros com tcharanz refora ou a vontade de apresentar o conceito da nossa marca pra vc vamos completar <num> ano em agosto e adoraraamos um bate papo com vc pra contar nossa hista <num> ria e nossos planos moro em londres e minha sa <num> cia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha d obrigada <num> <num> <num> <num>,saudacao
molinho,duvida_tamanho
tem telefonee/whatsapp de alguém?,falar_com_humano
"sou 42, às vezes pego 40; o body canelado segue a tabela certinha?",tamanho_modelagem
erro,erros_plataforma
"meu pedido #5408 não atualiza, pode ver?",status_pedido
procuro body canelado em verde,buscar_produto_por_nome
quero camisa preto 42,buscar_produto_por_categoria
cadê o rastreamento do #6730?,status_pedido
essa sandalia calca certo calco <num> sera que preciso comprar <num>,duvida_tamanho
podia,outros
apoio,saudacao
ola boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sanda lias da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar qualquer daovida estamos a disposia a o equipe curadobia d,saudacao
pagamento recusaado toda hora,erros_plataforma
tem blazer verde no G?,disponibilidade
ahhh maravilha,outros
"sou PP, às vezes pego 46; o body canelado segue a tabela certinha?",tamanho_modelagem
consigo fallar com atendente?,falar_com_humano
tem jaqueta verde no 42?,disponibilidade
quero vestido verde 46,buscar_produto_por_categoria
com relaa a o a outra blusa que vocaa gostou ela esta em processo de lana amento e ainda na o esta a venda no nosso site mas independente desse fator na o seria possavel unificar o frete nesse caso pois o frete sa <num> fica unificado para as pea as da mesma marca,saudacao
posso pagar no pix/boleto? parcella?,formas_pagamento
tem saia off-white no P?,disponibilidade
faz emm 3x sem juros?,formas_pagamento
jeitinho,outros
clientes,outros
tem vestido verde tamanho 36?,buscar_produto_por_categoria
quero camisa verde PP,buscar_produto_por_categoria
tem camisa verde no 42?,disponibilidade
posso pagar no pixx/boleto? parcela?,formas_pagamento
essas,outros
tem teelefone/whatsapp de alguém?,falar_com_humano
"sou P, às vezes pego G; o camisa de viscose segue a tabela certinha?",tamanho_modelagem
procuro camisa de viscose em off-white,buscar_produto_por_nome
a nossa calca diferentex esta saindo por r <num> <num>,duvida_tamanho
quero vestido preto PP,buscar_produto_por_categoria
quero blazer preto 42,buscar_produto_por_categoria
ela e reta e certa acredito que o tamanho m funcione bem para voce o tecido da base e mais maleavel que da parte de cima,outros
mari sent an attachment,outros
tem jaqueta verde tamanho 36?,buscar_produto_por_categoria
"não serviu, consiigo trocar?",troca_devolucao
consigo falar com atendennte?,falar_com_humano
boa tarde pessoal tudo bem estava namorando um macacao verde no site da marca d aura porem nao localizei mais saiu de colecao nao tera reposicao aguardo obrigada milene,saudacao
tem jaqueta preto tamanho G?,buscar_produto_por_categoria
elaine para o tamanho <num> nos indicamos o tamanho <num> da saia,duvida_tamanho
tem shorts off-white tamanho G?,buscar_produto_por_categoria
tem ttelefone/whatsapp de alguém?,falar_com_humano
tem jaqueta preto no 40?,disponibilidade
ola tudo bem ana e vc que bacana vou passar o whatsapp da maia pode falar com ela por gentileza <num> <num>,saudacao
valor do frete pro 055010-020?,frete_prazo
tem blazer linho vermelho G?,buscar_produto_por_nome
ele foi postando dia <num> com o ca <num> digo de rastreio aa <num> br,saudacao
oi anna bom dia tudo bem nos desculpe a falta de resposta vou te mandar mensagem via whatsapp para ficar melhor a nossa comunicacao tudo bem mas pode ficar tranquila pois realmente nosso atendimento funciona prioritariamente durante a semana e nao vamos te deixar desamparada,saudacao
cadê o rastreamento do #3222?,status_pedido
consegue,outros
tem camisa preto tamanho 46?,buscar_produto_por_categoria
tem saia verde no 42?,disponibilidade
"meu pedido #5076 não atuualiza, pode ver?",status_pedido
quero vestido preto 36,buscar_produto_por_categoria
certo obrigada o prazo de entrega sa o <num> dias mesmo,despedida
valor do freete pro 04012-000?,frete_prazo
poxa que pena quando tiverem me avise por favor,outros
de nada,outros
fazz em 3x sem juros?,formas_pagamento
oi karyna bom dia vimos que voce mandou as mesmas mensagens pelo nosso whatsapp vamos dar seguimento por la entao tudo bem obrigada,saudacao
queria ver sua sapateira pq tudo a c lindassimo mas seus sapatos sa o escolhidos a dedo tudo a ver com vc semprea esse a c da laia na c,despedida
tem blazer preto no 44?,disponibilidade
verde,outros
dica de look para formatura com calça alfaiataria preto,styling_sugestao_look
tem link? coomo compro?,onde_comprar
"sou 42, às vezes pego GG; o camisa de viscose segue a tabela certinha?",tamanho_modelagem
quuero shorts vermelho G,buscar_produto_por_categoria
beijos,outros
oi sandra tudo bem passando aqui para te avisar que o jeans preto que vocaa se interessou no nosso reels um tempinho atra s esta disponavel d,saudacao
me indica um vestido off-white tamanho M?,pedido_sugestao
é malha canelada? enccolhe? como lavar?,materiais_cuidados
descolado,saudacao
experimentei essa jaqueta maravilhosa,duvida_tamanho
ola van td bem farei um video para vc,saudacao
ainda tem camisa de viscose em G?,disponibilidade
cadê o rastreamento do #1879?,status_pedido
mee indica um jaqueta azul marinho tamanho GG?,pedido_sugestao
obrigada pelo convite adorei a minha sandalia nova a i,despedida
posso pagar no pix/boleeto? parcela?,formas_pagamento
scorro shared a product,outros
invernal,outros
qual seu manequim,outros
"prazo pro meu cep 060300-050, chega até sexta?",frete_prazo
tem camisa dee viscose off-white 36?,buscar_produto_por_nome
surpresa,outros
"quero um look minimalista para trabalho, uso 36",pedido_sugestao
é viscose? encolhe? comoo lavar?,materiais_cuidados
faz em 3x sem juros?,formas_pagamento
pergunta tem rastreio pra saia acinturante resposta frete prazos e trocas,duvida_tamanho
"quero uum look minimalista para trabalho, uso 36",pedido_sugestao
"sou G, às vezes pego G; o blazer linho segue a tabela certinha?",tamanho_modelagem
atimo me avise por favor um abraa o e obrigada,despedida
uso 40 na parte de cima; o body canelado serviria?,duvida_tamanho
tem jaqueta preto no 38?,disponibilidade
aqui a tabela certinha mas ja estamos com o pessoal ta c cnico corrigindo esse erro,erros_plataforma
tem saia plissada azul marinho 46?,buscar_produto_por_nome
"sou GG, às vezes pego M; o calça alfaiataria segue a tabela certinha?",tamanho_modelagem
tem llink? como compro?,onde_comprar
tem jaqueta azul marinho tamanho GG?,buscar_produto_por_categoria
to,outros
daniela depois me passa seu numero de telefone que ai seguimos a comunicacao por la e pelo e mail,saudacao
obrigada eu aviso sim gostei bastante vou levar para a cliente,despedida
quero jaqueta preto P,buscar_produto_por_categoria
estou de olho nessa peca aqui,outros
oi as compras sao direto no site,saudacao
tentar,outros
me indica um calça caramelo ttamanho G?,pedido_sugestao
cadê o rastreamentoo do #7280?,status_pedido
tem camisa verde no 44?,disponibilidade
guarda,outros
qualquer duvida ou questao estamos a disposicao obrigada por nos acompanhar equipe curadobia,despedida
vocaas irao vender oysho,outros
mto obrigada,despedida
vamos falar sim super,outros
tem blazer verde tamanho 40?,buscar_produto_por_categoria
"prazo pro meu cep 06030-050, chega aaté essa semana?",frete_prazo
sirvam,outros
"quero um look minimalista para trabalho, uso GG",pedido_sugestao
visto g qual tamanho seria quais cores tem tem a cala a tb,buscar_produto_por_nome
"quero um look moderno para trabalho, uso 38",pedido_sugestao
brinco,outros
bom dia beatriz tudo bem obrigada por ter entrado em contato conosco vamos te encaminhar uma mensagem pelo nosso whatsapp oficial edited,saudacao
tem camisa vermelho tamanho P?,buscar_produto_por_categoria
qual vestido combina com calça alfaiataria em bege?,pedido_sugestao
alongue,outros
tem vestido preto no 38?,disponibilidade
"não serviu, consigo troccar?",troca_devolucao
tem saia verde tamanho PP?,buscar_produto_por_categoria
na verdade eu ja assisti ao vadeo do casaco no site curadobia va rias vezes para tentar chegar a essa conclusa o mas na o consegui,onde_comprar
dica de look para formatura com saia plissada bege,styling_sugestao_look
tem body verde no PP?,disponibilidade
"prazo pro meu cep 04012-000, chega até 3 diaas úteis?",frete_prazo
era pra ter chegado ontem,buscar_produto_por_nome
procuro saia plissada em vermelho,buscar_produto_por_nome
chico neto cd mare mar whatsapp <num> <url>,falar_com_humano
checkout ttravando aqui,erros_plataforma
na o tem mais numeraa a o <num>,buscar_produto_por_nome
tem body preto tamanho 40?,buscar_produto_por_categoria
numero,falar_com_humano
"sou 40, às vezes pego 44; o body canelado segue a tabela certinha?",tamanho_modelagem
estamos estudando trazer essa categoria para o curadobia pora c m nada de imediato ainda mas muito legal saber do interesse assim que tivermos iremos te manter avisada,despedida
me indicca um jaqueta preto tamanho 38?,pedido_sugestao
ola gisela essa sandalia a c da minha collab com a paula ferber,saudacao
"meu pedido #3595 não atualiza, pode ver?",status_pedido
na o temos cupom de desconto no momento,buscar_produto_por_nome
veste pequeno ou grande? queria o calça alfaiataria em 40,duvida_tamanho
me indica um vestido off-white tamaanho 44?,pedido_sugestao
é linho? encolhe? como llavar?,materiais_cuidados
"meu pedido #7253 não atualiza, pode ver?",status_pedido
gg,outros
"tenho 96cm de busto e 124cm de quadril, qual tamanho do saia plissada vc indica?",duvida_tamanho
boa tarde na pagina da regata podrinha cinza eu nao consigo ver as medidas dos tamanhos acima do g que sao justamente o que visto poderia me enviar essas medidas dos tamanhos gg e xgg por favor,saudacao
"quero um loook moderno para casamento de dia, uso 36",pedido_sugestao
tem saia verde tamanho 46?,buscar_produto_por_categoria
posso pagar no pix/boleto? parccela?,formas_pagamento
tem body preto tamanho 42?,buscar_produto_por_categoria
quero camisa verde 44,buscar_produto_por_categoria
tem blazer linho preto PP?,buscar_produto_por_nome
que ai conseguimos encaminhar pro la as tratativas o que acha se puder esclarecer que seria algo mais voltado para o perfil pessoal da bia ou para o curadobia seria bacana entendermos tambem para encaminhar de forma mais assertiva sua mensagem,saudacao
quero blazer verde 40,buscar_produto_por_categoria
consigo falar com atendente?,falar_com_humano
quero jaqueta verde 38,buscar_produto_por_categoria
ola eu encontro as medidas no site,saudacao
"não servviu, consigo trocar?",troca_devolucao
uso 42 na parte de cima; o body canelado serviria?,duvida_tamanho
pagamento recusado toda hora,erros_plataforma
obrigada pelo retorno,despedida
choker,outros
eu nao recebi a confirmacao dessa compra,outros
oiee bom dia,saudacao
quero blazer verde GG,buscar_produto_por_categoria
eu na o recebi a confirmaa a o dessa compra,outros
ok obrigada,despedida
posso passar malha canelada? precisa cuidado esppecial?,materiais_cuidados
ola rosangela boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas rasteiras da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar rosangela qualquer daovida estamos a disposia a o equipe curadobia d,saudacao
precisei sair correndo por um problema com minha filha que ja esta bem mas nem consegui me despedir obrigada queridas pelo convite,despedida
pergunta tem rastreio pra camisa de responsa resposta frete prazos e trocas,duvida_tamanho
"quero um look street para trabalho, uso GG",pedido_sugestao
milene perguntamos para a bia e ela te indicou comprar o tamanho <num> dessa jaqueta por voce nao estar acostumada a roupas oversized o que acha,duvida_tamanho
obrigada por nos mandar e informar sobre essa situacao ja passamos para o nosso setor tecnico analisar essa situacao caso deseje podemos tirar duvidas e disponibilizar mais informacoes por aqui so nos solicitar estamos a disposicao para qualquer coisa,saudacao
comprimento,outros
pedimos desculpas pelo transtorno,outros
todas,outros
pagamentto recusado toda hora,erros_plataforma
tranquilo obrigada,despedida
ola silvana boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nas sapatilhas da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar silvana qualquer duvida estamos a disposicao equipe curadobia,saudacao
"prazo pro meu cep 04012-000, chega até amanhã?",frete_prazo
"sou M, às vezes pego PP; o calça alfaiataria segue a tabela certinha?",tamanho_modelagem
dica de look para jantar com calça alfaiataria preto,styling_sugestao_look
procuro calça alfaiataria em caramelo,buscar_produto_por_nome
tem blazer linho azul marinho 36?,buscar_produto_por_nome
solicitamos a reposia a o para a paula ferber logo mais te atualizaremos sobre o estoque d deg,outros
oi adriana isso ainda nao esta disponivel pois ele e um modelo exclusivo de sao paulo fashion week inclusive fomos semana passada prestigiar a marca reptilia nossa previsao e que esteja disponivel na proxima semana,saudacao
aindda tem blazer linho em 40?,disponibilidade
tem blazer preto tamanho PP?,buscar_produto_por_categoria
diferenca,outros
boa tarde milene td bem e vc esse macacao nesse tom infelizmente nao tera reposicao mas lancamos ontem o mesmo modelo em preto,saudacao
tem vestido midi off-white 38?,buscar_produto_por_nome
quero camisa verde 42,buscar_produto_por_categoria
obrigada a i,despedida
chega quando no 04567-010?,frete_prazo
pergunta a camisa viajante ta em promocao resposta preco estoque e pagamento,duvida_tamanho
oii o site curadobia esta fora do ar fui visitar atraves dos link da bio e nao funcionou bjs,saudacao
obrigada por nos acompanhar d sigo aqui para o que vocaa precisar,despedida
sa <num> entrar no site ou aqui no nosso perfil que tem a selea a o completa,buscar_produto_por_nome
adorei obrigada vcs,despedida
acabamento,outros
quero jaqueta verde 44,buscar_produto_por_categoria
é linho? encolhe? como lavaar?,materiais_cuidados
"quero um look minimalista para trabalho, uso 40",pedido_sugestao
cade quero,outros
"sou GG, às vezes pego PP; o body canelado segue a tabela certinha?",tamanho_modelagem
"meu pedido #7112 não atualiza, pode ver?",status_pedido
tem calça caramelo no 42?,disponibilidade
persuasao,outros
"sou 36, às vezes pego 46; o calça alfaiataria segue a tabela certinha?",tamanho_modelagem
alguem poderia entrar em contato comigo por e mail ou whatsapp o site de vcs parece que esta com problemas nao funciona direito nao,onde_comprar
no e mail da nota fiscal nao tem nada,buscar_produto_por_nome
oi mari boa tarde ah que a <num> timo combinado enta o fico muito feliz que o conjunto tenha ficado bacana conta com a gente para o que precisar grande abraa o aproveite o final de semana torcendo para baixar um pouco a temperatura d,saudacao
atemporal,despedida
tem body verde no 46?,disponibilidade
oi danuza bom dia tudo bem pode nos informar por aqui a duvida ou se preferir uma comunicacao mais agil pode nos chamar no nosso whatsapp,saudacao
casa,outros
eu comprei a calca pantalona branca no dia <num> <num>,duvida_tamanho
pergunta a calca cool fica justa no quadril resposta tamanho e medidas,duvida_tamanho
iremos relana a la em outubro aqui no curadobia,outros
mas temos varias opcoes qualquer coisa sigo aqui para te auxiliar,saudacao
tem camisa preto no 36?,disponibilidade
oi pri esta o entrando muitas marcas incraveis novas no curadobia pora c m a oysho na o a c uma delasd,saudacao
"prazo pro meu cep 06030-050, chega até essa semana?",frete_prazo
eu comprei a cala a pantalona branca no dia <num> <num>,outros
checckout travando aqui,erros_plataforma
oi adriana bom dia como vai obrigada pelo seu interesse conosco estamos fazendo uma repaginaa a o no site e assim que voltarmos te mando o link do nosso conjunto que vocaa gostou d deg,saudacao
ola tudo bem estou apaixonada por essa jaqueta bacanuda da foto o prea o de <num> pula pra setecentos e tanto na hora de comprar a isso mesmo entra um valor de comissa o na hora da compra,saudacao
"prazo pro meu cep 04567-010, chega até essa semana?",frete_prazo
cadê o rastreamento do #40086?,status_pedido
o tom certo e o que esta no site os stories que a bia postou hoje modificaram um pouco o tom,onde_comprar
tem camisa preto no M?,disponibilidade
tem body verde no 36?,disponibilidade
natural,outros
pergunta com que sapato usar a regata pregas jersey resposta combinacoes e ocasioes,styling_sugestao_look
estou com duvidas sobre o tamanho da saia unica visto <num> mas as medidas no quadro de tamanhos parecem grandes mas existe a informacao de que o tamanho <num> corresponde ao <num>,duvida_tamanho
qual camisa combina com body canelado em off-white?,pedido_sugestao
as,outros
qual shorts combina com vestido midi em off-white?,pedido_sugestao
qualquer daovida ou questa o estamos a disposia a o obrigada por nos acompanhar equipe curadobia d,despedida
ola katia tudo bem,saudacao
decote,outros
oi quanto custa a blusa modernosa tem gg,saudacao
venho com boas notacias o conjunto que vocaa se interessou acabou de subir no site com pouquassimas unidades,onde_comprar
procuro saia plissada em caramelo,buscar_produto_por_nome
faz em 3x sem juuros?,formas_pagamento
ola bom dia me chamo anelisa e gostaria de confirmar se meu pedido foi realizado nao sei se esse e o canal mais adequado para essa solicitacao mas como nao achei no site um campo para falar com voces decidi vir aqui fiz essa compra ontem pelo site e logo depois de finalizar apareceu uma mensagem dizendo que o pagamento nao estava confirmado no entanto no site diz que o pagamento foi efetuado e nao recebi nenhuma mensagem do banco dizendo que o pagamento foi negado alem disso tambem nao recebi um e mail com os dados do pedido muito obrigada desde ja,saudacao
"sou GG, às vezes pego 46; o vestido midi segue a tabela certinha?",tamanho_modelagem
outra daovida a c sobre o tom certinho dessa jaqueta no site achei que estava num tom diferente dos stories,duvida_tamanho
deixa eu tirar outra duvida vc faz consultoria de imagem estilo tb se sim como funciona,styling_sugestao_look
qual jaqueta combina com calça alfaiataria em azul marinho?,pedido_sugestao
com relaa a o a cala a na <num> s temos essas duas opa aues que penso que vc pode gostar,buscar_produto_por_nome
essa conta na o pode receber sua mensagem porque na o aceita novas solicitaa aues de contato de todos,outros
pora c m a c interessante frisar que a modelagem da cala a a c uma cintura no lugar nem cintura baixa e nem cintura alta,tamanho_modelagem
vou seguir,outros
tem vestido verde tamanho P?,buscar_produto_por_categoria
queridinha,outros
bia tudo bem tenho uma festa bem legal e o traje e black and white pensei na blusa pah mas queria saber se o tecido fica vistoso e se voce recomenda alguma calca mais festa para combinar beijos julie,duvida_tamanho
pergunta a camisa de responsa combina com jeans resposta combinacoes e ocasioes,duvida_tamanho
cadê o rastreamento do #6236?,status_pedido
ola como tirar daovidas de tamanho da pea a,saudacao
muito obrigada elas entraram em contato comigo realmente a sanda lia a c linda mas infelizmente fico um pouco fora pra mim,despedida
que vestido posso usar com camisa de viscose? quero algo clássico,styling_sugestao_look
legal mto obrigada d,despedida
macacaues com mangas,outros
ola alessandra boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sanda lias da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar alessandra qualquer daovida estamos a disposia a o equipe curadobia d,saudacao
"veio com defeito, comoo faço a devolução?",troca_devolucao
ainda ttem blazer linho em M?,disponibilidade
inventadas,outros
prateleira,despedida
uso G na parte de cima; o camisa de viscose serviria?,duvida_tamanho
ola sou o gerente de vendas da pg game platform quero falar com voce sobre parcerias nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curacao em outubro voce pode se juntar a nos e lhe daremos altas comissoes entre em contato comigo pelo whatsapp <num>,saudacao
ops a c a blusa pah,outros
diferente,outros
qual o endereco,onde_comprar
o produto a c lindo apesar de ter ficando um pouco grande,duvida_tamanho
tem camisa de viscose off-white P?,buscar_produto_por_nome
oi karyna bom dia tudo bem vamos verificar,saudacao
ola pati boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nas sandalias da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar patricia qualquer duvida estamos a disposicao equipe curadobia,saudacao
temos o video nos nossos stories de hoje com a bia usando ela de uma olhada,buscar_produto_por_nome
essa modelagem é mais enxuta? o calça alfaiataria veste grande?,tamanho_modelagem
tem blazer verde no 36?,disponibilidade
uma coisa de lindo,saudacao
tem jaqueta preto tamanho P?,buscar_produto_por_categoria
como a c o processo da troca,troca_devolucao
os bodys da revival sa o excelentes pea as neutras e ba sicas para ter no arma rio e possuem uma ampla grade de tamanhos <url> ala c m disso temos nossos acessa <num> rios <url> bolsas <url> e sapatos <url>,duvida_tamanho
inclusive muito obrigada pela solicitaa a o pois em funa a o dela estamos criando esse maas um destaque aqui no insta trazendo e salvando vadeos mostrando essa a c mais outras pea as que podem gerar daovidas,saudacao
isso e curadobia hein,outros
obrigada pela presenca renata vai arrasar demais com o conjuntinho mascavo nosso intimo terracota,despedida
tem jaqueta preto tamanho 42?,buscar_produto_por_categoria
bom dia beatriz tudo bem obrigada por ter entrado em contato conosco vamos entrar em contato com voce pelo nosso whatsapp oficial,saudacao
alfaiataria,outros
