texto,cluster
uso M na parte de cima; o blazer linho serviria?,3
coisa,10
obrigada pela presenca silvia,0
quero camisa preto 46,1
oi as compras sa o direto no site,5
obrigada pela presena a renata vai arrasar demais com o conjuntinho mascavo nosso antimo terracota d deg,8
seu ddd qual seria,8
ja tentei traas vezes sera que pode ser o tamanho,3
quero saia verde M,13
na o tenho nada da paula ferber a numeraa a o a c normal a forma,3
me indica um shorts caramelo tamanho P?,3
quero comprar mas preciso saber se ela calca certinho o numero do calco o numero <num> devo comprar o mesmo,5
dica de look para happy hour com camisa de viscose azul marinho,8
tem body canelado bege P?,8
obrigada pela presenca,0
muito obrigada pela atencao,0
obrigada pela presena a a i a i,0
pergunta tenho duvida no tamanho da camisa viajante qual voce recomenda resposta tamanho e medidas,3
enviado obrigada ata c segunda,0
tem loja física/enderreço?,5
pensamos que poderia ser a senha criada mas quando ocorre algum ponto nesse aspecto surge uma mensagem abaixo voce se importaria em tentar novamente apenas para checarmos se continua ocorrendo o mesmo erro,5
perfeito ana obrigada pelo retorno d,0
tem jaqueta preto no 44?,4
tem vestido verde tamanho G?,7
necessarias,10
o meu e <user> oficial,5
na o tem um link de comunicaa a o no whatsapp,5
aindda tem calça alfaiataria em G?,1
tem body verde tamanho P?,7
procuro blazer linho em azul marinho,8
quero saia verde 36,13
tem shorts preto no 44?,4
quero jaqueta bege 442,1
sugestao,10
elegante,10
fechado,10
valor do frete pro 04567-010?,12
cadê o rastreamento do #5536?,6
tem vestido preto no P?,11
ok entendi obrigada pelo retorno um abraco,0
"prazo pro meu cep 04012-000, chega até essa semana?",12
"quero um look casual para trabalho, uso 36",9
de,10
quero jaqueta preto 36,4
vc consegue rastrear o meu pedido,8
tem saia preto tamanho 36?,11
sku,10
é algodão? encolhe? comoo lavar?,2
bia voce acaba comigo com tantas coisas lindas do curadobia queria muito que tivesse frete internacional canada eu fico aqui babando,8
bia esse seu curadobia esta um arraso muito tentador paraba c ns pelo projeto uma daovida qual a sua altura estou interessadassima nessa cala a mas sou baixa <num> cm e geralmente tenho que fazer a barras das cala as o que na o a c muito fa cil com essaa d obrigada,3
obrigada pelo prestigio foi incrivel te ter de pertinho ontem,0
qual camisa combina com body canelado em preto?,11
me iindica um shorts bege tamanho GG?,3
"quero um look minimalista para jantar, uso PP",9
quero jaqueta verde G,13
volta pro estoque,10
uso 46 na parte de cima; o body canelado serviria?,4
obrigada pela presena a livia,0
tem blazer linho off-wwhite 46?,8
quero saia verde 42,13
legal mto obrigada,0
checkout travandoo aqui,5
pagamentoo recusado toda hora,2
conteudo,10
karyna bom dia tudo bem desculpe a demora para o esclarecimento da duvida como somos um marketolace trabalhamos com marcas unicas e diferentes como cada uma tem a sua producao optamos por entrar em contato com a marca parceira da calca ontem para confirmar sua duvida e te responder da melhor maneira possivel a marca nos confirmou que as medidas do tamanho <num> estao corretas com a cintura e o quadril com a mesma medida mesmo isso ocorre pois como e uma peca produzida com elastico na cintura ele acaba ficando na mesma medida do quadril se adequando ao formato do corpo que a usa a unica correcao que ja aproveitamos para fazer que a marca tambem nos informou foi que o tamanho <num> fa calca tambem deveria estar com a mesma medida na cintura e no quadril <num> cm pelo mesmo motivo ja vamos corrigir isso no site qualquer outra questao estamos a disposicao karyna,3
ola bom dia sheila tudo bem que bom que gostou do nosso macacao cool nos temos ele nos tamanhos <num> <num> <num> e <num> vou te encaminhar o link dele para que possa visualizar no nosso site <url>,8
tem jaqueta preto no GG?,1
ola meninas seguem meus contatos <num> <num> <num> <num> daniela masson <user> com muito bom falar com vcs ontem obrigada falamos na sequaancia por whatsapp d,5
é viscose? encolhee? como lavar?,2
cadê o rastreamento do #3909?,6
"prazo pro meu cep 01455-022, chega até amanhã?",12
bia gosto muito das suas bolsas poderia passar umas dicas nao encontrei no seu site,5
pergunta a saia acinturante marca muito o corpo resposta modelagem e tecido,3
ola camila td bem segue aqui o link da blusa que voce gostou qualquer duvida estamos a disposicao ok,8
como e o processo da troca,2
tem blazer verde no 40?,7
tem jaqueta verde no 40?,7
me indica um saia preto tamanho 46?,11
tem blazer verde no 38?,7
ola bia sou a daniela e gostaria de apresentar minha marca pra vc a queens gate minha socia e eu ja te acompanhamos tem um bom tempo e somos muito fas a sua curadoria com seus neutros com tcharanz reforcou a vontade de apresentar o conceito da nossa marca pra vc vamos completar <num> ano em agosto e adorariamos um bate papo com vc pra contar nossa historia e nossos planos moro em londres e minha socia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha obrigada <num> <num> <num> <num>,5
ola bia sou a daniela e gostaria de apresentar minha marca pra vc a queens gate minha sa <num> cia e eu ja te acompanhamos tem um bom tempo e somos muito fa s a sua curadoria com seus neutros com tcharanz refora ou a vontade de apresentar o conceito da nossa marca pra vc vamos completar <num> ano em agosto e adoraraamos um bate papo com vc pra contar nossa hista <num> ria e nossos planos moro em londres e minha sa <num> cia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha d obrigada <num> <num> <num> <num>,5
molinho,10
tem telefonee/whatsapp de alguém?,5
"sou 42, às vezes pego 40; o body canelado segue a tabela certinha?",4
erro,10
"meu pedido #5408 não atualiza, pode ver?",6
procuro body canelado em verde,7
quero camisa preto 42,1
cadê o rastreamento do #6730?,6
essa sandalia calca certo calco <num> sera que preciso comprar <num>,1
podia,10
apoio,10
ola boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sanda lias da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar qualquer daovida estamos a disposia a o equipe curadobia d,5
pagamento recusaado toda hora,2
tem blazer verde no G?,7
ahhh maravilha,10
"sou PP, às vezes pego 46; o body canelado segue a tabela certinha?",4
consigo fallar com atendente?,2
tem jaqueta verde no 42?,7
quero vestido verde 46,13
com relaa a o a outra blusa que vocaa gostou ela esta em processo de lana amento e ainda na o esta a venda no nosso site mas independente desse fator na o seria possavel unificar o frete nesse caso pois o frete sa <num> fica unificado para as pea as da mesma marca,1
posso pagar no pix/boleto? parcella?,2
tem saia off-white no P?,8
faz emm 3x sem juros?,2
jeitinho,10
clientes,10
tem vestido verde tamanho 36?,7
quero camisa verde PP,13
tem camisa verde no 42?,7
posso pagar no pixx/boleto? parcela?,2
essas,10
tem teelefone/whatsapp de alguém?,5
"sou P, às vezes pego G; o camisa de viscose segue a tabela certinha?",3
procuro camisa de viscose em off-white,1
a nossa calca diferentex esta saindo por r <num> <num>,3
quero vestido preto PP,1
quero blazer preto 42,4
ela e reta e certa acredito que o tamanho m funcione bem para voce o tecido da base e mais maleavel que da parte de cima,3
mari sent an attachment,5
tem jaqueta verde tamanho 36?,7
"não serviu, consiigo trocar?",2
consigo falar com atendennte?,2
boa tarde pessoal tudo bem estava namorando um macacao verde no site da marca d aura porem nao localizei mais saiu de colecao nao tera reposicao aguardo obrigada milene,8
tem jaqueta preto tamanho G?,11
elaine para o tamanho <num> nos indicamos o tamanho <num> da saia,3
tem shorts off-white tamanho G?,3
tem ttelefone/whatsapp de alguém?,5
tem jaqueta preto no 40?,4
ola tudo bem ana e vc que bacana vou passar o whatsapp da maia pode falar com ela por gentileza <num> <num>,8
valor do frete pro 055010-020?,12
tem blazer linho vermelho G?,8
ele foi postando dia <num> com o ca <num> digo de rastreio aa <num> br,8
oi anna bom dia tudo bem nos desculpe a falta de resposta vou te mandar mensagem via whatsapp para ficar melhor a nossa comunicacao tudo bem mas pode ficar tranquila pois realmente nosso atendimento funciona prioritariamente durante a semana e nao vamos te deixar desamparada,5
cadê o rastreamento do #3222?,6
consegue,10
tem camisa preto tamanho 46?,11
tem saia verde no 42?,7
"meu pedido #5076 não atuualiza, pode ver?",6
quero vestido preto 36,4
certo obrigada o prazo de entrega sa o <num> dias mesmo,12
valor do freete pro 04012-000?,12
poxa que pena quando tiverem me avise por favor,8
de nada,10
fazz em 3x sem juros?,2
oi karyna bom dia vimos que voce mandou as mesmas mensagens pelo nosso whatsapp vamos dar seguimento por la entao tudo bem obrigada,5
queria ver sua sapateira pq tudo a c lindassimo mas seus sapatos sa o escolhidos a dedo tudo a ver com vc semprea esse a c da laia na c,8
tem blazer preto no 44?,4
verde,7
dica de look para formatura com calça alfaiataria preto,1
tem link? coomo compro?,5
"sou 42, às vezes pego GG; o camisa de viscose segue a tabela certinha?",4
quuero shorts vermelho G,3
beijos,10
oi sandra tudo bem passando aqui para te avisar que o jeans preto que vocaa se interessou no nosso reels um tempinho atra s esta disponavel d,8
me indica um vestido off-white tamanho M?,1
é malha canelada? enccolhe? como lavar?,2
descolado,10
experimentei essa jaqueta maravilhosa,1
ola van td bem farei um video para vc,8
ainda tem camisa de viscose em G?,1
cadê o rastreamento do #1879?,6
mee indica um jaqueta azul marinho tamanho GG?,1
obrigada pelo convite adorei a minha sandalia nova a i,0
posso pagar no pix/boleeto? parcela?,2
scorro shared a product,5
invernal,10
qual seu manequim,8
"prazo pro meu cep 060300-050, chega até sexta?",12
tem camisa dee viscose off-white 36?,1
surpresa,10
"quero um look minimalista para trabalho, uso 36",9
é viscose? encolhe? comoo lavar?,2
faz em 3x sem juros?,2
pergunta tem rastreio pra saia acinturante resposta frete prazos e trocas,2
"quero uum look minimalista para trabalho, uso 36",9
"sou G, às vezes pego G; o blazer linho segue a tabela certinha?",3
atimo me avise por favor um abraa o e obrigada,0
uso 40 na parte de cima; o body canelado serviria?,3
tem jaqueta preto no 38?,4
aqui a tabela certinha mas ja estamos com o pessoal ta c cnico corrigindo esse erro,8
tem saia plissada azul marinho 46?,4
"sou GG, às vezes pego M; o calça alfaiataria segue a tabela certinha?",3
tem llink? como compro?,5
tem jaqueta azul marinho tamanho GG?,1
to,10
daniela depois me passa seu numero de telefone que ai seguimos a comunicacao por la e pelo e mail,5
obrigada eu aviso sim gostei bastante vou levar para a cliente,0
quero jaqueta preto P,1
estou de olho nessa peca aqui,8
oi as compras sao direto no site,5
tentar,10
me indica um calça caramelo ttamanho G?,1
cadê o rastreamentoo do #7280?,6
tem camisa verde no 44?,7
guarda,10
qualquer duvida ou questao estamos a disposicao obrigada por nos acompanhar equipe curadobia,5
vocaas irao vender oysho,8
mto obrigada,0
vamos falar sim super,8
tem blazer verde tamanho 40?,7
"prazo pro meu cep 06030-050, chega aaté essa semana?",12
sirvam,10
"quero um look minimalista para trabalho, uso GG",9
visto g qual tamanho seria quais cores tem tem a cala a tb,3
"quero um look moderno para trabalho, uso 38",9
brinco,10
bom dia beatriz tudo bem obrigada por ter entrado em contato conosco vamos te encaminhar uma mensagem pelo nosso whatsapp oficial edited,5
tem camisa vermelho tamanho P?,3
qual vestido combina com calça alfaiataria em bege?,1
alongue,10
tem vestido preto no 38?,11
"não serviu, consigo troccar?",2
tem saia verde tamanho PP?,7
na verdade eu ja assisti ao vadeo do casaco no site curadobia va rias vezes para tentar chegar a essa conclusa o mas na o consegui,8
dica de look para formatura com saia plissada bege,8
tem body verde no PP?,7
"prazo pro meu cep 04012-000, chega até 3 diaas úteis?",12
era pra ter chegado ontem,8
procuro saia plissada em vermelho,8
chico neto cd mare mar whatsapp <num> <url>,5
checkout ttravando aqui,5
na o tem mais numeraa a o <num>,3
tem body preto tamanho 40?,11
numero,10
"sou 40, às vezes pego 44; o body canelado segue a tabela certinha?",4
estamos estudando trazer essa categoria para o curadobia pora c m nada de imediato ainda mas muito legal saber do interesse assim que tivermos iremos te manter avisada,5
me indicca um jaqueta preto tamanho 38?,11
ola gisela essa sandalia a c da minha collab com a paula ferber,8
"meu pedido #3595 não atualiza, pode ver?",6
na o temos cupom de desconto no momento,5
veste pequeno ou grande? queria o calça alfaiataria em 40,1
me indica um vestido off-white tamaanho 44?,1
é linho? encolhe? como llavar?,8
"meu pedido #7253 não atualiza, pode ver?",6
gg,10
"tenho 96cm de busto e 124cm de quadril, qual tamanho do saia plissada vc indica?",3
boa tarde na pagina da regata podrinha cinza eu nao consigo ver as medidas dos tamanhos acima do g que sao justamente o que visto poderia me enviar essas medidas dos tamanhos gg e xgg por favor,3
"quero um loook moderno para casamento de dia, uso 36",9
tem saia verde tamanho 46?,7
posso pagar no pix/boleto? parccela?,2
tem body preto tamanho 42?,11
quero camisa verde 44,13
tem blazer linho preto PP?,8
que ai conseguimos encaminhar pro la as tratativas o que acha se puder esclarecer que seria algo mais voltado para o perfil pessoal da bia ou para o curadobia seria bacana entendermos tambem para encaminhar de forma mais assertiva sua mensagem,5
quero blazer verde 40,13
consigo falar com atendente?,2
quero jaqueta verde 38,13
ola eu encontro as medidas no site,5
"não servviu, consigo trocar?",2
uso 42 na parte de cima; o body canelado serviria?,4
pagamento recusado toda hora,2
obrigada pelo retorno,0
choker,10
eu nao recebi a confirmacao dessa compra,2
oiee bom dia,0
quero blazer verde GG,13
eu na o recebi a confirmaa a o dessa compra,5
ok obrigada,0
posso passar malha canelada? precisa cuidado esppecial?,2
ola rosangela boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas rasteiras da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar rosangela qualquer daovida estamos a disposia a o equipe curadobia d,5
precisei sair correndo por um problema com minha filha que ja esta bem mas nem consegui me despedir obrigada queridas pelo convite,2
pergunta tem rastreio pra camisa de responsa resposta frete prazos e trocas,5
"quero um look street para trabalho, uso GG",9
milene perguntamos para a bia e ela te indicou comprar o tamanho <num> dessa jaqueta por voce nao estar acostumada a roupas oversized o que acha,1
obrigada por nos mandar e informar sobre essa situacao ja passamos para o nosso setor tecnico analisar essa situacao caso deseje podemos tirar duvidas e disponibilizar mais informacoes por aqui so nos solicitar estamos a disposicao para qualquer coisa,5
comprimento,10
pedimos desculpas pelo transtorno,0
todas,10
pagamentto recusado toda hora,2
tranquilo obrigada,0
ola silvana boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nas sapatilhas da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar silvana qualquer duvida estamos a disposicao equipe curadobia,5
"prazo pro meu cep 04012-000, chega até amanhã?",12
"sou M, às vezes pego PP; o calça alfaiataria segue a tabela certinha?",3
dica de look para jantar com calça alfaiataria preto,1
procuro calça alfaiataria em caramelo,1
tem blazer linho azul marinho 36?,4
solicitamos a reposia a o para a paula ferber logo mais te atualizaremos sobre o estoque d deg,5
oi adriana isso ainda nao esta disponivel pois ele e um modelo exclusivo de sao paulo fashion week inclusive fomos semana passada prestigiar a marca reptilia nossa previsao e que esteja disponivel na proxima semana,5
aindda tem blazer linho em 40?,4
tem blazer preto tamanho PP?,11
diferenca,10
boa tarde milene td bem e vc esse macacao nesse tom infelizmente nao tera reposicao mas lancamos ontem o mesmo modelo em preto,8
tem vestido midi off-white 38?,4
quero camisa verde 42,13
obrigada a i,0
chega quando no 04567-010?,12
pergunta a camisa viajante ta em promocao resposta preco estoque e pagamento,1
oii o site curadobia esta fora do ar fui visitar atraves dos link da bio e nao funcionou bjs,5
obrigada por nos acompanhar d sigo aqui para o que vocaa precisar,0
sa <num> entrar no site ou aqui no nosso perfil que tem a selea a o completa,5
adorei obrigada vcs,0
acabamento,10
quero jaqueta verde 44,13
é linho? encolhe? como lavaar?,2
"quero um look minimalista para trabalho, uso 40",9
cade quero,10
"sou GG, às vezes pego PP; o body canelado segue a tabela certinha?",3
"meu pedido #7112 não atualiza, pode ver?",6
tem calça caramelo no 42?,4
persuasao,10
"sou 36, às vezes pego 46; o calça alfaiataria segue a tabela certinha?",4
alguem poderia entrar em contato comigo por e mail ou whatsapp o site de vcs parece que esta com problemas nao funciona direito nao,5
no e mail da nota fiscal nao tem nada,2
oi mari boa tarde ah que a <num> timo combinado enta o fico muito feliz que o conjunto tenha ficado bacana conta com a gente para o que precisar grande abraa o aproveite o final de semana torcendo para baixar um pouco a temperatura d,8
atemporal,10
tem body verde no 46?,7
oi danuza bom dia tudo bem pode nos informar por aqui a duvida ou se preferir uma comunicacao mais agil pode nos chamar no nosso whatsapp,5
casa,10
eu comprei a calca pantalona branca no dia <num> <num>,1
pergunta a calca cool fica justa no quadril resposta tamanho e medidas,3
iremos relana a la em outubro aqui no curadobia,5
mas temos varias opcoes qualquer coisa sigo aqui para te auxiliar,8
tem camisa preto no 36?,11
oi pri esta o entrando muitas marcas incraveis novas no curadobia pora c m a oysho na o a c uma delasd,8
"prazo pro meu cep 06030-050, chega até essa semana?",12
eu comprei a cala a pantalona branca no dia <num> <num>,1
checckout travando aqui,8
oi adriana bom dia como vai obrigada pelo seu interesse conosco estamos fazendo uma repaginaa a o no site e assim que voltarmos te mando o link do nosso conjunto que vocaa gostou d deg,5
ola tudo bem estou apaixonada por essa jaqueta bacanuda da foto o prea o de <num> pula pra setecentos e tanto na hora de comprar a isso mesmo entra um valor de comissa o na hora da compra,1
"prazo pro meu cep 04567-010, chega até essa semana?",12
cadê o rastreamento do #40086?,6
o tom certo e o que esta no site os stories que a bia postou hoje modificaram um pouco o tom,8
tem camisa preto no M?,11
tem body verde no 36?,7
natural,10
pergunta com que sapato usar a regata pregas jersey resposta combinacoes e ocasioes,3
estou com duvidas sobre o tamanho da saia unica visto <num> mas as medidas no quadro de tamanhos parecem grandes mas existe a informacao de que o tamanho <num> corresponde ao <num>,3
qual camisa combina com body canelado em off-white?,1
as,10
qual shorts combina com vestido midi em off-white?,1
qualquer daovida ou questa o estamos a disposia a o obrigada por nos acompanhar equipe curadobia d,5
ola katia tudo bem,8
decote,10
oi quanto custa a blusa modernosa tem gg,1
venho com boas notacias o conjunto que vocaa se interessou acabou de subir no site com pouquassimas unidades,5
procuro saia plissada em caramelo,8
faz em 3x sem juuros?,3
ola bom dia me chamo anelisa e gostaria de confirmar se meu pedido foi realizado nao sei se esse e o canal mais adequado para essa solicitacao mas como nao achei no site um campo para falar com voces decidi vir aqui fiz essa compra ontem pelo site e logo depois de finalizar apareceu uma mensagem dizendo que o pagamento nao estava confirmado no entanto no site diz que o pagamento foi efetuado e nao recebi nenhuma mensagem do banco dizendo que o pagamento foi negado alem disso tambem nao recebi um e mail com os dados do pedido muito obrigada desde ja,5
"sou GG, às vezes pego 46; o vestido midi segue a tabela certinha?",4
outra daovida a c sobre o tom certinho dessa jaqueta no site achei que estava num tom diferente dos stories,1
deixa eu tirar outra duvida vc faz consultoria de imagem estilo tb se sim como funciona,8
qual jaqueta combina com calça alfaiataria em azul marinho?,1
com relaa a o a cala a na <num> s temos essas duas opa aues que penso que vc pode gostar,8
essa conta na o pode receber sua mensagem porque na o aceita novas solicitaa aues de contato de todos,5
pora c m a c interessante frisar que a modelagem da cala a a c uma cintura no lugar nem cintura baixa e nem cintura alta,3
vou seguir,8
tem vestido verde tamanho P?,7
queridinha,10
bia tudo bem tenho uma festa bem legal e o traje e black and white pensei na blusa pah mas queria saber se o tecido fica vistoso e se voce recomenda alguma calca mais festa para combinar beijos julie,1
pergunta a camisa de responsa combina com jeans resposta combinacoes e ocasioes,1
cadê o rastreamento do #6236?,6
ola como tirar daovidas de tamanho da pea a,8
muito obrigada elas entraram em contato comigo realmente a sanda lia a c linda mas infelizmente fico um pouco fora pra mim,5
que vestido posso usar com camisa de viscose? quero algo clássico,1
legal mto obrigada d,0
macacaues com mangas,8
ola alessandra boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sanda lias da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar alessandra qualquer daovida estamos a disposia a o equipe curadobia d,5
"veio com defeito, comoo faço a devolução?",2
ainda ttem blazer linho em M?,8
inventadas,10
prateleira,10
uso G na parte de cima; o camisa de viscose serviria?,1
ola sou o gerente de vendas da pg game platform quero falar com voce sobre parcerias nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curacao em outubro voce pode se juntar a nos e lhe daremos altas comissoes entre em contato comigo pelo whatsapp <num>,5
ops a c a blusa pah,10
diferente,10
qual o endereco,10
o produto a c lindo apesar de ter ficando um pouco grande,3
tem camisa de viscose off-white P?,1
oi karyna bom dia tudo bem vamos verificar,0
ola pati boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo voce demonstrou interesse nas sandalias da bia que apareceram em um dos nossos reels agora eles estao disponiveis no site do curadobia segue o link <url> obrigada por nos acompanhar patricia qualquer duvida estamos a disposicao equipe curadobia,5
temos o video nos nossos stories de hoje com a bia usando ela de uma olhada,8
essa modelagem é mais enxuta? o calça alfaiataria veste grande?,1
tem blazer verde no 36?,7
uma coisa de lindo,8
tem jaqueta preto tamanho P?,11
como a c o processo da troca,2
os bodys da revival sa o excelentes pea as neutras e ba sicas para ter no arma rio e possuem uma ampla grade de tamanhos <url> ala c m disso temos nossos acessa <num> rios <url> bolsas <url> e sapatos <url>,8
inclusive muito obrigada pela solicitaa a o pois em funa a o dela estamos criando esse maas um destaque aqui no insta trazendo e salvando vadeos mostrando essa a c mais outras pea as que podem gerar daovidas,5
isso e curadobia hein,8
obrigada pela presenca renata vai arrasar demais com o conjuntinho mascavo nosso intimo terracota,8
tem jaqueta preto tamanho 42?,11
bom dia beatriz tudo bem obrigada por ter entrado em contato conosco vamos entrar em contato com voce pelo nosso whatsapp oficial,5
alfaiataria,10
ola tudo bem sobre qual funcionamento deseja saber,8
vai ter reposicao dessa calca,8
"sou 38, às vezes pego 46; o camisa de viscose segue a tabela certinha?",4
tem loja físiica/endereço?,5
"meu pedido #2075 não atualiza, pode ver?",6
obrigada pelo retorno vou acompanhar enta o beijo beijo d d,0
"sou 44, às vezes pego P; o saia plissada segue a tabela certinha?",4
karyna estoque atualizado,5
pergunta da pra parcelar a saia tech sem juros resposta preco estoque e pagamento,2
checkout travando aaqui,5
cadê o rastreamento do #1920?,8
outra duvida e sobre o tom certinho dessa jaqueta no site achei que estava num tom diferente dos stories,1
"quero um look moderno para happy hour, uso 44",9
ola bom dia denize tudo bem estamos repondo o estoque da nossa calca quentinha e por isso ela esta temporariamente indisponivel no nosso site assim que ela retornar te avisamos estamos a disposicao para qualquer duvida obrigada por ter entrado em contato conosco,5
tem body caramelo no 44?,4
"veio com defeeito, como faço a devolução?",2
vamos pensar no q podemos fazer juntasdodo,8
como uma cratica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra,5
pergunta a calca cool tem frete gratis resposta frete prazos e trocas,2
tudo,10
"sou GG, às vezes pego 38; o vestido midi segue a tabela certinha?",4
porem teremos em dezembro um evento presencial para trazer as pecas ao vivo para quem quiser conhecer pessoalmente essa curadobia incrivel feita pela bia,5
faz em 3x sem juross?,2
valor do frete pro 045677-010?,12
carrinho não abrre no celular,2
posso passarr malha canelada? precisa cuidado especial?,2
posso paassar malha canelada? precisa cuidado especial?,2
"sou M, às vezes pego 42; o body canelado segue a tabela certinha?",4
perfeito ja passei pro pessoal realizar a correa a o obrigada pelo feedback,0
tem vestido midi verde GG?,7
posso paassar viscose? precisa cuidado especial?,2
segue o link dele qualquer duvida ou questao estamos a disposicao obrigada por nos acompanhar equipe curadobia,5
oi mari bom dia tudo bem infelizmente essa cala a na o teremos mais reposia a o no curadobia mas estamos com diversas novidades no site qualquer coisa sigo aqui para o que vocaa precisar,5
tem loja física/endereço?,5
bom dia maria luiza que bacana que se interessou por essa cala a ela a c muito especial mesmo o valor r <num> <num> caso tenha mais alguma duvida na o deixe de nos constatar equipe curadobia a,8
é malha canelada? encolhe? ccomo lavar?,2
posso passar algodão? precisa cuidado especial?,2
"não serviiu, consigo trocar?",2
salaio sent an attachment,5
ah que otimo monica deve ter ficado incrivel com toda a sua bossa,8
posso passar malha canelada? precisa cuidaado especial?,2
quero camisa preto 44,1
pergunta posso indicar a bolsa anda sozinha pra alguem resposta extras e institucional,5
a modelagem e grande pode ser tam <num>,3
obrigada pelo interesse aguardamos voces,0
qualquer coisa seguimos a disposicao por aqui ok,8
procuro body canelado em preto,11
obrigada pelo prestagio d d,0
"não serviu, coonsigo trocar?",2
obrigada pelo retorno namoro o modelo gladiador me lembro dele mas quando fui procurar ja na o tinha mais d,8
tem body preto tamanho P?,11
"quero um look casual para trabalho, uso 40",9
oi tatiana tudo bem infelizmente nao temos o cupom,2
ja comprei <num> pecas da curadobia,8
pagamento recusado todaa hora,2
ola kari bom dia tudo bem,0
ola anna bom dia seu produto vou enviado dia <num> <num> vocaa consegue acompanhar tudo pelo codigo de rastreio abaixo,5
dica de look para jantar com camisa de viscose off-white,1
pergunta a regata pregas jersey tem desconto a vista resposta preco estoque e pagamento,2
tem jaqueta verde tamanho 38?,7
tem telefone/whatsapp dee alguém?,5
bom dia a obrigada dd>>,0
ola karyna tudo bem obrigada por ter entrado em contato conosco,0
tem body preto tamaanho 38?,4
faz eem 3x sem juros?,2
carrinho não abre no celulaar,2
"prazo pro meu cep 05010-020, chega até sexta?",12
ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a argi super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces,5
tem jaqueta preto tamanho 40?,11
tem body preto no 44?,4
e o pedido <num>,5
obrigada ata c la,0
pergunta a trench facil tem forro interno resposta modelagem e tecido,3
tem vestido verde no 42?,7
bom dia julienne o que achou da nossa selecao edited,8
dica de look para happy hourr com camisa de viscose preto,8
oi claudia que mensagem boa ficamos felizes de voce gostar dos nossos produtos vou confirmar sua compra e te aviso,5
quero saia verde P,13
