texto,intent_true,intent_pred
"ola bia sou a daniela e gostaria de apresentar minha marca pra vc, a queens gate. minha sócia e eu já te acompanhamos tem um bom tempo e somos muito fãs! a sua curadoria com seus ""neutros com tcharanz"" reforçou a vontade de apresentar o conceito da nossa marca pra vc. vamos completar 1 ano em agosto e adoraríamos um bate papo com vc pra contar nossa história e nossos planos. moro em londres e minha sócia em sp e vou deixar meu whatsapp pessoal por conta do fuso aqui e mando o link do nosso insta pra vc dar uma olhadinha 😉 obrigada ! +1(917)868-9790",disponibilidade,outros
feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,outros,nao_entendi
"olá, gente! bom dia! acabei de ver o post da bia sobre camisas. somos uma pequena alfaiataria e camisaria é o core da nossa criação. gostaria muito de apresentar nosso produto pra vocês. se vocês acharem conveniente, por favor, indiquem a melhor forma de contato. abraço, stella",saudacao,saudacao
https://www.instagram.com/queensgatestore?igsh=mjc0c2g5chnmn25k&utm_source=qr,onde_comprar,nao_entendi
"acho ótimo. pode ser segunda 29 na parte da tarde. estamos com 4horas de fuso, qual horário seria bom pra vc?",outros,outros
boa tarde! tudo ótimo! segunda à tarde em qualquer horário.,saudacao,saudacao
fechado 3pm brasil !,outros,nao_entendi
daniela.masson@hotmail.com,outros,nao_entendi
obrigada ! até lá,agradecimento,agradecimento
stellathomazbastos@gmail.com,outros,nao_entendi
funciona,outros,nao_entendi
😍,outros,nao_entendi
onde e a loja?,onde_comprar,outros
"toque em ""continuar"" para aceitar ou recusar o pedido.",outros,nao_entendi
11-991428141,outros,nao_entendi
"ola meninas seguem meus contatos: +1(917)868-9790 daniela.masson@hotmail.com muito bom falar com vcs ontem, obrigada ! falamos na sequência por whatsapp 🌷",onde_comprar,saudacao
eu estou vendo mesmo que está demorando. mas super obrigada! bom final de semana brenda,agradecimento,outros
adorei!!!! 😘😘🌷,outros,outros
esse é o fechado,outros,nao_entendi
já tô seguindo 👊🏻,outros,nao_entendi
acabei de comprar um conjunto. se não servir posso trocar? pelo seu cep deve ser perto da minha casa. o meu 04531-020,troca_devolucao,outros
estou vendo pelo celular sim.,outros,nao_entendi
tá joia.,outros,nao_entendi
muito obrigada pela atenção!,agradecimento,agradecimento
a calça ficou sobrando muito atrás.,duvida_tamanho,outros
"olá, boa noite",saudacao,saudacao
gostaria de saber o tamanho da cintura dessa calça no tamanho m,duvida_tamanho,tamanho_modelagem
maravilha!,outros,nao_entendi
mto obrigada msm,agradecimento,agradecimento
oieee,saudacao,outros
bom dia,saudacao,saudacao
"caso não fique com, como funciona a troca?",troca_devolucao,outros
ahhh maravilha,outros,nao_entendi
mto obrigada,agradecimento,agradecimento
ainda hj vou efetuar a compra da calça,outros,nao_entendi
"e eu, como estou na praia, torcendo para não baixar!!!!!🤣🤣🤣",outros,nao_entendi
😍,outros,nao_entendi
😍,outros,nao_entendi
👏,outros,nao_entendi
bia gosto muito das suas bolsas . poderia passar umas dicas ?? não encontrei no seu site …,outros,outros
olá bia tudo bem?,saudacao,saudacao
"tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos, lojas, etc?",outros,outros
é fato! perguntei pois está a procurando uma peça e não encontrava,outros,nao_entendi
mas super entendi e aproveito pra agradecer e elogiar seu trabalho,outros,agradecimento
beijos,despedida,nao_entendi
😍,outros,nao_entendi
👏,outros,nao_entendi
👏,outros,nao_entendi
"olá! onde encontro os sapatos? este e as gladiadoras, especialmente.",saudacao,outros
na torcida ❤️,outros,nao_entendi
"olá, boa tarde",saudacao,saudacao
preciso de uma ajudinha com o meu pedido,outros,outros
olá,saudacao,saudacao
"olá , bom dia",saudacao,saudacao
eu comprei a calça pantalona branca no dia 13/08,disponibilidade,outros
e ainda não chegou,outros,nao_entendi
vc consegue rastrear o meu pedido?,prazo_entrega,outros
aiiiin que pena,outros,nao_entendi
eu queria usar nas fotos que irei fazer amanhã,outros,nao_entendi
olá!!,saudacao,saudacao
meu pedido chegou hj!!,outros,nao_entendi
"mas, ficou grande😫",troca_devolucao,nao_entendi
como é o processo da troca?,troca_devolucao,outros
tem cupom de desconto primeira compra?,preco_pagamento,formas_pagamento
boa tarde. gostaria de saber se vocês enviam para fora do brasil. obrigada.,saudacao,nao_entendi
e esses sapatos incríveis? teremos a chance de tê-los? rs,outros,nao_entendi
bom dia! ontem tive o prazer de conhecer vc ao vivo! eu estava no mil plantas! vc e lindíssima! ❤️,saudacao,saudacao
bom dia. comprei esta blusa mas a parte que passa encima do ombro está solta. é assim mesmo? podemos falar para eu entender melhor? obrigada. meu cel 983389576,saudacao,outros
"obrigada pelo retorno! namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento,nao_entendi
reagiu com 😢 à sua mensagem,outros,nao_entendi
obrigada. no aguardo que seja disponibilizado o envio.,agradecimento,outros
muito obrigada,agradecimento,agradecimento
oi,saudacao,nao_entendi
pode me chamar novamente por favor?,outros,outros
11,outros,nao_entendi
993811193,outros,nao_entendi
olá bom dia,saudacao,saudacao
td bem?,outros,outros
"sobre a troca da calça que comprei (quero trocar por um tamanho menor). recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",troca_devolucao,outros
conseguem me ajudar por aqui?,agradecimento,outros
olá! por favor vcs tem desconto para a primeira compra? obrigada!,preco_pagamento,formas_pagamento
oie,saudacao,outros
mto obrigada pelo retorno,agradecimento,agradecimento
obrigada!,agradecimento,agradecimento
oiee! bom dia,saudacao,saudacao
"sim! a carol entrou em contato comigo! uma fofa , super atenciosa",outros,nao_entendi
"olá bia! te vi no post da teti gio amei o seu perfil eu tenho uma marca de joias autorais, com design minimalista e ouro sustentável adoraria te apresentar @eunoyah_jewelry também gostaria de conversar sobre divulgacao, se houver interesse, claro :) muito obrigada um abraço evelyn",saudacao,saudacao
ambos :),outros,nao_entendi
bom dia!,saudacao,saudacao
como posso fazer essa apresentacao?,outros,nao_entendi
obrigada pelo retorno,agradecimento,agradecimento
obrigada ;) enviarei!,agradecimento,agradecimento
bia! esse seu curadobia está um arraso! muito tentador. parabéns pelo projeto. uma dúvida: qual a sua altura? estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 obrigada,agradecimento,outros
gosto da calça assim mais curta! visto entre 38-40 (quadril 95),duvida_tamanho,tamanho_modelagem
"ola, tudo bem? meu nome é gisela, acabei de fazer um pedido.",saudacao,outros
consegue me informar de onde é essa sandália?,outros,outros
ah que bom!! é lindíssima!! parabéns.,outros,outros
"deixa eu tirar outra dúvida, vc faz consultoria de imagem/estilo tb? se sim, como funciona?",outros,nao_entendi
já tentei três vezes. será que pode ser o tamanho?,duvida_tamanho,tamanho_modelagem
gostaria de saber qual a altura e medidas da bia pra entender melhor o tamanho de referência.,duvida_tamanho,tamanho_modelagem
obrigada,agradecimento,agradecimento
"muito obrigada, legal que sou do mesmo tamanho que ela!",duvida_tamanho,outros
"oi, as compras são direto no site?",saudacao,nao_entendi
olá! bom dia,saudacao,saudacao
eu amei a blusa branca tcharam 🥰,disponibilidade,outros
mas gostaria de experimentar antes de comprar. é possível? meu cel (11) 99904-7575,outros,outros
obrigada,agradecimento,agradecimento
ops é a blusa pah,outros,nao_entendi
maravilha 🙌🏼,outros,nao_entendi
"bom dia. estou interessada na blusa pah, mas estou em dúvida quanto ao tamanho. minhas medidas: busto 92 cm e cintura 75 cm.",duvida_tamanho,tamanho_modelagem
m,duvida_tamanho,outros
"não gosto de nada apertado, mas essa blusa tem um shane mais ajustado. daí fiquei na dúvida.",disponibilidade,disponibilidade
"ok, obrigada.",agradecimento,agradecimento
qual tamanho?,duvida_tamanho,tamanho_modelagem
"eu quero comprar esses acessórios, como faço?",outros,outros
aguardo ansiosa pelos seus pisantes na curadobia,outros,nao_entendi
"amoooo suas rasteiras, não são da sua lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade,outros
"ok, muito obrigada 😊",agradecimento,agradecimento
reagiu com 👍 à sua mensagem,outros,nao_entendi
😍,outros,nao_entendi
oii o site curadobia está fora do ar?? fui visitar através dos link da bio e não funcionou ... bjs,saudacao,outros
vou olhar aqui meu anti virus.. pq ele bloqueia o curadobia... veja:,outros,nao_entendi
olá! tudo bem? tem cupom para 1a compra?,cupom_primeira,outros
"fui olhar para comprar o tamanho 1 dessa calça, porém a largura da cintura e do quadril eh a mesma - 98",duvida_tamanho,tamanho_modelagem
eh isso mesmo?,outros,nao_entendi
muito obrigada pelos esclarecimentos,agradecimento,agradecimento
vcs tem desconto para primeira compra?,preco_pagamento,formas_pagamento
"bom dia! gostaria de adquirir essa calça, mas não está mais disponível. podem me ajudar? obrigada",disponibilidade,outros
obrigada!,agradecimento,agradecimento
"oiii! tudo bem? me chamo caroline sou formada em marketing e trabalho como social media tem um tempinho, estou a procura de uma nova oportunidade no mercado de trabalho. gostaria de saber se tem um espacinho no time de vocês, vou deixar o meu número, e-mail e portfólio. caso queria marcar uma call para falarmos mais estou por aqui. cel: (11) 94443-8896 e-mail: cspereiramkt@gmail.com portfólio: https://cspereira.my.canva.site/ obrigada desde já 💖",disponibilidade,outros
"oieee, obrigada de verdade 💖",saudacao,agradecimento
https://www.instagram.com/minimadeia/profilecard/,onde_comprar,nao_entendi
tutu. meu filho é tutu. arthur kkkk,outros,nao_entendi
😍,outros,nao_entendi
https://www.instagram.com/_nata.oficial/profilecard/,onde_comprar,nao_entendi
e a calça é de onde?,outros,nao_entendi
obrigada,agradecimento,agradecimento
ola! por favor algum retorno?,saudacao,outros
bom dia! consegue me mandar o vídeo?,saudacao,saudacao
que legal! vai ajudar muito!,agradecimento,outros
deu certo mas a peça que eu queria acabou…,outros,nao_entendi
obaaaa,outros,nao_entendi
"a jaqueta branca. uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade,outros
😍,outros,nao_entendi
como comprar ?,onde_comprar,nao_entendi
parabéns!!! excelente ideia!!! vim pelo insta da glória kalil 😍 - torcendo por mais um sucesso!,onde_comprar,outros
😍,outros,nao_entendi
ibaaaa,outros,nao_entendi
experimentei essa jaqueta. maravilhosa,agradecimento,nao_entendi
tenho interesse nessa jaqueta,outros,nao_entendi
👏,outros,nao_entendi
https://www.instagram.com/tatho.brasil/profilecard/,onde_comprar,nao_entendi
👏,outros,nao_entendi
https://www.instagram.com/agola__/profilecard/,onde_comprar,nao_entendi
👏,outros,nao_entendi
adoro…!,outros,nao_entendi
você é linda e de uma delicadeza admirável,outros,nao_entendi
lindíssima,outros,nao_entendi
😍,outros,nao_entendi
😍,outros,nao_entendi
😍,outros,nao_entendi
onde posso comprar?,outros,outros
"bom dia! sou a gianina marques, mineira, mãe e autora de joias artesanais. gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva. aguardo o retorno de vcs q tem tanto conhecimento na área. desde já obrigada! @gianinamarques",disponibilidade,outros
eu amei a que tem a ponta. duvida. tem que ter tornozelo fino? obrigada,disponibilidade,nao_entendi
legal. obrigada,agradecimento,agradecimento
não tenho nada da paula ferber. a numeração é normal a forma?,duvida_tamanho,tamanho_modelagem
já vi e amei!! esperando a virada do cartao pra perder os juízo!,preco_pagamento,nao_entendi
👏,outros,nao_entendi
vocês tem loja física?,disponibilidade,outros
comprei a jaqueta 😻,outros,nao_entendi
oii comprei a bico fino. o dedo fica um pouquinho de lado pra fora né? mas super confortável,duvida_tamanho,nao_entendi
lindaaaa,outros,nao_entendi
acha melhor pegar maior?,outros,outros
11 99635.2663,outros,nao_entendi
vou amanhã. obrigada,agradecimento,outros
"muito obrigada, elas entraram em contato comigo. realmente a sandália é linda , mas infelizmente fico um pouco fora $$$ pra mim !",agradecimento,outros
reagiu com 👍🏿 à sua mensagem,outros,nao_entendi
obrigada,agradecimento,agradecimento
já comprei! e acabou de chegar!!,outros,nao_entendi
https://www.instagram.com/wendyelborin/profilecard/,onde_comprar,nao_entendi
ai..me ajuda com o vídeo …. ainda não usei a blusa!!,outros,outros
https://www.instagram.com/usemyk/profilecard/,onde_comprar,nao_entendi
essa sandália calça certo ?calço 36 .será que preciso comprar 37 ?,duvida_tamanho,outros
obrigada !!,agradecimento,agradecimento
ola!,saudacao,saudacao
fiz uma compra de um casaco com vcs e não vestiu bem. gostaria de trocar por uma calça fresquinha tamanho m.,troca_devolucao,outros
alguém poderia entrar em contato comigo por e-mail ou whatsapp? o site de vcs parece que está com problemas. não funciona direito não.,onde_comprar,outros
meu tel 21 99245-3454,outros,nao_entendi
email: adrianaleitecarvalho@gmail.com,outros,outros
muito obrigada!,agradecimento,agradecimento
este é meu whatsapp…,onde_comprar,outros
qual foi a mensagem?,outros,nao_entendi
é acolchoada ?,outros,nao_entendi
reagiu com 👍 à sua mensagem,outros,nao_entendi
muito estilo,outros,nao_entendi
lindas !!,outros,nao_entendi
"bom dia tudo bem? então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . eu estou em uma fase de camisa, calça jeans bem moderna . e roupas mais discretas . mas é esses vestido como usar ?",disponibilidade,disponibilidade
caraca muito!,outros,nao_entendi
https://www.instagram.com/___lourie___/profilecard/,onde_comprar,nao_entendi
"boa tarde, me interessei pelos macacões, com zíper mostrados pela bia.",saudacao,outros
macacões com mangas,outros,nao_entendi
gostei da corrente dourada também.,outros,nao_entendi
"os brincos argola frontal, não sei o nome da peça kkk",outros,nao_entendi
oi bia. sou erika dos @brincosdiferentes. gostaria de saber como você trabalha em relação a promoção de produtos. meus brincos são autorais e os fabrico a 39 anos. a produção é 100% nacional. fabricamos desde a liga do metal até o banho de ouro 18k. nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro. espero seu contato. obrigada.,saudacao,outros
"por favor , me interessei por este macacão . quais tamanhos e como comprar ?",duvida_tamanho,outros
obrigada pelo retorno,agradecimento,agradecimento
teria as medidas do 42,duvida_tamanho,tamanho_modelagem
"pois sou , em algumas marcas , 44",duvida_tamanho,tamanho_modelagem
"e em outras , 42",duvida_tamanho,tamanho_modelagem
estou tentando contato para devolução de mercadoria e ninguém me atende! nem por whatsapp e nem e-mail. comprei um vestido que quero devolver. como devo proceder? cristina hees 11 970499507,troca_devolucao,outros
e quadril ?,duvida_tamanho,outros
vou checar as minhas medidas e volto com vcs,duvida_tamanho,outros
macacão precisa ser mais soltinho,outros,nao_entendi
"oi bia, tudo bem? me chamo alice, sou sócia da monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! o que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? fico no aguardo!",pedido_sugestao,outros
ok,outros,nao_entendi
falamos por lá,outros,nao_entendi
"ainda não , super correria",outros,nao_entendi
"olá, quanto custa a pantalona?",preco_pagamento,outros
"olá, eu encontro as medidas no site?",duvida_tamanho,outros
e a blusa?,outros,outros
😍,outros,nao_entendi
"oiee tudo bem? amei a bota, tem curadoria dela? bjos",disponibilidade,nao_entendi
"queria ver sua sapateira pq tudo é lindíssimo, mas seus sapatos são escolhidos a dedo, tudo a ver com vc sempre… esse é da laiá né?",outros,nao_entendi
uhuu,outros,nao_entendi
👏,outros,nao_entendi
"linda calça, qual é a marca?",outros,outros
de onde é a sandália linda?,outros,nao_entendi
reagiu com 👍 à sua mensagem,outros,nao_entendi
https://www.instagram.com/durgashop/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/voceamara/profilecard/,onde_comprar,nao_entendi
"claro, mando tudo la",outros,nao_entendi
obrigada pelo retorno!,agradecimento,agradecimento
"olá, tudo bem?! meu nome é leonardo, trabalho na importadora @lulitex_textil @lulitexfashion vi o instagram da marca e vocês tem o perfil lulitex, muito sofisticação e bom gosto. trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. nosso showroom tem um acervo enorme. será um prazer recebe-los em uma visita. poderia me passar o contato do estilo ou compras? desde já agradeço a atenção. att, leonardo josé e-mail: leonardo@lulitex.com.br pabx: +55 11 2105 1541 whatsapp: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega,outros
😍,outros,nao_entendi
olá!! como vai funcionar? onde vai ser? obrigada!!,saudacao,saudacao
https://www.instagram.com/giom.ei/profilecard/,onde_comprar,nao_entendi
de onde é esse macacão maravilhoso!!! amo ❤️,agradecimento,outros
"bom dia gostei muito de uma calça mais gostaria de ter informações dos tamanhos , se te tabela de medidas , como faço para saber , poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho,tamanho_modelagem
"olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m poderiam me ajudar ? no aguardo grata adriana baggio",duvida_tamanho,tamanho_modelagem
"certo, obrigada !!! o prazo de entrega são 19 dias mesmo ?",prazo_entrega,outros
"oi, pessoal, tudo bem? mariele da icon aqui. adoraria apresentar a agência e os talentos que representamos para vocês. acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! qual o melhor contato para falarmos disso, por favor? muito obrigada!",saudacao,outros
👏,outros,nao_entendi
tô chegando!,outros,nao_entendi
🖤🖤🖤,outros,nao_entendi
"precisei sair correndo por um problema com minha filha, que ja esta bem! mas nem consegui me despedir! obrigada queridas pelo convite!!!",agradecimento,outros
❤️❤️,outros,nao_entendi
😁😁,outros,nao_entendi
"aaaah, perdi! quando vai ter offline de novo?",outros,outros
😍,outros,nao_entendi
🥰,outros,nao_entendi
obrigada pelo convite! adorei a minha sandalia nova! ♥️,agradecimento,outros
👏,outros,nao_entendi
boa tarde! a jaqueta off da nauanim voltou?,saudacao,outros
😍,outros,nao_entendi
"sim, obrigada",agradecimento,agradecimento
😮,outros,nao_entendi
https://www.instagram.com/luiseramirezbrand/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/numerodez.numerodez/profilecard/,onde_comprar,nao_entendi
😍,outros,nao_entendi
o site está passando por problemas?,outros,nao_entendi
"oi pessoal! tudo bem? acredito que essa calça tenha esgotado, certo? vai ter reposição dela? aguardo retorno! obrigada, milene",disponibilidade,outros
perfeito! fico no aguardo! abraço,agradecimento,nao_entendi
ola boa tarde tudo bem? tenho uma confecção trabalho com tecido plano e malha faço todo desenvolvimento da peça começando da peça piloto e entrego a produção passada e embalada caso tenha interesse meu número é 11948549084 obrigada,saudacao,outros
😍,outros,nao_entendi
que roupa bonita,outros,nao_entendi
"olá! primeiramente quero dizer que a curadobia está fantástica! vi que vários produtos estão indisponíveis no site, como a blusa pah e phyna por exemplo tem alguma previsão de retorno ao estoque?",disponibilidade,disponibilidade
reagiu com 💜 à sua mensagem,outros,nao_entendi
"obrigada pelo retorno! vou acompanhar, então. beijo beijo 💋 💋",agradecimento,outros
"olá! sua curadoria, projeto editorial e gráfico, são incríveis. parabéns! mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. muito difícil!",saudacao,outros
"olá, tudo bem? seriam essas peças:",saudacao,outros
"as duas camisas, o body, a calça e o colar. eu visto p.",duvida_tamanho,nao_entendi
adorei a dica!,outros,nao_entendi
"olá, fiz uma compra com vocês. tudo certo?",saudacao,outros
oba! ❤️,outros,nao_entendi
"oi, pessoal. tudo bem? estou com dúvida sobre numeração de uma peça de vocês. aguardo retorno, obrigada! milene",duvida_tamanho,outros
tudo bem e vocês?,outros,outros
joia,outros,nao_entendi
estou de olho nessa peça aqui 👇🏻,outros,nao_entendi
porém na dúvida do melhor tamanho,duvida_tamanho,tamanho_modelagem
eu costumo usar p ou pp se a confecção é grande,duvida_tamanho,tamanho_modelagem
36 ou 38,duvida_tamanho,tamanho_modelagem
não rsrs,outros,nao_entendi
vou olhar,outros,nao_entendi
"na verdade eu já assisti ao vídeo do casaco no site curadobia várias vezes para tentar chegar a essa conclusão, mas não consegui",outros,nao_entendi
"posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao,outros
outra dúvida é sobre o tom certinho dessa jaqueta. no site achei que estava num tom diferente dos stories,outros,nao_entendi
perfeito,agradecimento,outros
eu amo todos os seus looks! combina 100% com o meu estilo! queria ter todas as peças para mim! pena que moro do outro lado do mundo.,pedido_sugestao,outros
https://revistamarieclaire.globo.com/moda/noticia/2024/08/bia-paes-de-barros-usa-expertise-em-consultoria-de-moda-e-lanca-curadoria-de-pecas-em-site-de-garimpo.ghtml?fbclid=pazxh0bgnhzw0cmteaaabtooq7rft69-14p2vewwiwwndqxvdl2mr4hkmrlgelvmjri66dz7p8__4_aem_r0ojw7surovb9xnwndzvwq,outros,nao_entendi
bom dia,saudacao,saudacao
entrar em contato com a luciana nossa gerente comercial no email gerencia@elisaatheniense.com.br,outros,outros
por nada!,outros,nao_entendi
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",saudacao,saudacao
oi,saudacao,nao_entendi
a regata chiquetosa vai voltar pro estoque?,disponibilidade,outros
reagiu com 🖤 à sua mensagem,outros,nao_entendi
e a regata arrumadona?,outros,nao_entendi
volta pro estoque?,disponibilidade,outros
boa tarde!! fiz um pedido de uma blusa brilhei no dia 13/01. não recebi nenhum e-mail de confirmação. será que está tudo certo? meu nome é cristiane rocha loures brenner.,saudacao,saudacao
ok! obrigada. vi que foi lançado no meu cartão de crédito.,preco_pagamento,nao_entendi
"olá curadobia, tudo bem? agradecemos o interesse pela marca. para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. nossa equipe de marketing é especializada nesse assunto. dessa forma, tenho certeza de que eles avaliarão e, se houver interesse, entrarão em contato prontamente. fique à vontade para entrar em contato caso tenha alguma dúvida. estamos aqui para ajudar.",saudacao,outros
ei ana,outros,nao_entendi
tudo bem?,outros,outros
em março eu vou produzir reposição e cores novas de tudo,disponibilidade,outros
agora estou organizando as coisas,outros,nao_entendi
aí entro em contato vocês,outros,nao_entendi
pode ser?,outros,nao_entendi
oi!,saudacao,nao_entendi
a regata arrumadona m,duvida_tamanho,nao_entendi
olá!! obrigada. qual a previsão de entrega?,prazo_entrega,outros
"como uma crítica construtiva, vcs deveriam mandar um e-mail para confirmar o pedido. compro bastante on-line e sempre vem o e-mail do status do pedido!! o cliente fica mais seguro da compra.",duvida_tamanho,nao_entendi
sim,outros,nao_entendi
vamos marcar ☺️,outros,nao_entendi
eu não recebi a confirmação dessa compra,outros,nao_entendi
"oi ana a marcia fonseca esta em contato com vc, ne? vamos conversar sim, a fernanda tem mto interesse",disponibilidade,nao_entendi
sim,outros,nao_entendi
pode,outros,nao_entendi
ok!! entendi. obrigada pelo retorno. um abraço,agradecimento,agradecimento
"oiii boa tarde , me chamo talita e sou figurinista na emissora cnbc @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. temos no nosso elenco grandes nomes do jornalismo incluido carol barcellos , rita wu, erica reis , christiane pelajo , zeca camargo, natalia ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. as meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade,outros
"olá, tudo bem? entre em contato com nosso comercial, 085987859507",saudacao,saudacao
oie,saudacao,outros
chama no mkt@gammba.com,outros,nao_entendi
"bia, tudo bem? tenho uma festa bem legal e o traje é black and white. pensei na blusa pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar. beijos julie",duvida_tamanho,outros
boa noite ! haverá reposição da saia única preta no tamanho 1 ?,duvida_tamanho,outros
ok obrigada,agradecimento,agradecimento
"oi time da curadobia tudo bem? sou joana, sigo o perfil e amo! tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. queria saber de onde ela é, por favor. se puderem, vocês me contam? super obrigada! bj",disponibilidade,outros
https://www.instagram.com/ac.gromann?igsh=mwe4dtziy2izetaxnw==,onde_comprar,nao_entendi
oi boa tarde,saudacao,saudacao
adquiri uma máxi pantalona valéria mansur,outros,nao_entendi
p,duvida_tamanho,nao_entendi
ficou enorme,duvida_tamanho,outros
como proceder p troca?,troca_devolucao,outros
"obrigada pelo retorno, as peças são incríveis! é que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento,outros
até agora nada!,despedida,nao_entendi
"eu sugiro q vcs verifiquem melhor as parcerias de fornecedores, pois não comprarei mais nesta curadoria! infelizmente, gosto mto do trabalho da bia… mas assim inviabiliza!",outros,outros
"olá meninas, tudo bem? comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). como faço?",troca_devolucao,disponibilidade
linda gladiadora!,outros,outros
sim!,outros,nao_entendi
"na verdade foi o porteiro, rs!",outros,nao_entendi
"tranquilo, obrigada!",agradecimento,agradecimento
reagiu com 👍 à sua mensagem,outros,nao_entendi
já respondi! sim no wzap,outros,nao_entendi
vocês irao vender oysho????,outros,nao_entendi
é o pedido 502!,outros,nao_entendi
olá tudo bem ana e vc? que bacana… vou passar o whatsapp da maiá pode falar com ela por gentileza! 11-983268095,onde_comprar,outros
vou seguir.,outros,nao_entendi
que honra 😍😍😍,outros,nao_entendi
já comprei 3 peças da curadobia,outros,nao_entendi
amando ♥️♥️♥️,outros,nao_entendi
😍,outros,nao_entendi
linda essa blusa,outros,outros
